emp_id,emp_name,skill_id,skill_name,proficiency_level,no_of_projects_done_in_that_skill,certifications
E4702,Ashlee Wong,S002,React,5,1,No
E1192,Casey Perez,S003,Node.js,6,9,No
E1184,Toni Moreno,S015,Risk Management,4,3,Yes
E1255,Danny Powell,S006,Python,2,4,No
E2548,Angela Davis,S012,Project Management,5,1,Yes
E3257,Paul Warren,S015,Risk Management,9,7,No
E4340,Michael Maldonado,S005,HTML/CSS,4,3,No
E3244,Janet Bennett,S004,Docker,1,1,No
E4597,Joel Adams DDS,S007,SQL,7,7,Yes
E4913,Lindsey Johnson,S006,Python,6,9,No
E3689,Julie Carroll,S009,Data Visualization,2,3,No
E2239,Joseph Avila,S002,React,3,3,No
E1270,Danielle Odonnell,S012,Project Management,3,2,No
E4191,Amanda Garrett,S009,Data Visualization,2,1,Yes
E3426,Levi Jones,S014,Client Management,7,9,Yes
E3031,Kenneth Castillo,S003,Node.js,2,3,No
E3566,Michael Collins,S004,Docker,7,10,Yes
E4729,Jon Cardenas,S001,JavaScript,3,4,Yes
E4855,Victoria Dixon,S011,Consulting Basics,6,7,Yes
E1982,James Green,S004,Docker,10,8,No
E1409,Ashley Klein MD,S015,Risk Management,3,4,No
E4207,Joshua Moses,S001,JavaScript,7,11,Yes
E2048,Brenda Walker,S003,Node.js,10,12,No
E1932,Ashley Scott MD,S001,JavaScript,3,3,No
E1294,Sara Roberts,S013,Financial Modeling,8,6,No
E1717,Joyce Warner,S005,HTML/CSS,5,4,Yes
E4743,Steven Smith,S005,HTML/CSS,5,4,Yes
E4686,Kenneth Riley,S009,Data Visualization,7,5,No
E4867,Kimberly Owens,S003,Node.js,1,1,Yes
E4502,Carly Payne,S013,Financial Modeling,9,6,Yes
E3481,Richard Chandler,S013,Financial Modeling,2,3,Yes
E3393,Mr. William Kirk,S011,Consulting Basics,7,9,No
E3639,James Sherman,S005,HTML/CSS,3,2,Yes
E4090,Kimberly Adams,S006,Python,7,5,No
E2995,Katie Bowers,S009,Data Visualization,7,10,No
E1637,Charlotte Alvarez PhD,S015,Risk Management,9,12,No
E986,Claudia Farmer,S002,React,3,3,Yes
E1552,David Drake,S004,Docker,6,8,No
E4343,Mary Clark,S003,Node.js,6,5,Yes
E1861,Carla Davis,S008,Machine Learning,4,1,No
E3331,Chris Baker,S015,Risk Management,6,10,Yes
E1968,Tammy Berry,S008,Machine Learning,9,8,Yes
E2692,Mark Chavez,S009,Data Visualization,10,12,Yes
E3598,Kelly Jenkins,S013,Financial Modeling,7,6,Yes
E4372,Edward Watson,S013,Financial Modeling,2,1,Yes
E1900,Wendy Nelson,S008,Machine Learning,6,12,No
E4972,Penny Adkins,S014,Client Management,8,6,No
E486,Erin Williams,S009,Data Visualization,4,3,Yes
E4305,Andre Vang,S015,Risk Management,1,3,Yes
E858,Karen Bell,S009,Data Visualization,7,8,No
E3840,Katherine Adams,S015,Risk Management,3,3,No
E162,Alyssa Hart,S011,Consulting Basics,3,4,No
E4653,Lawrence Delacruz,S011,Consulting Basics,2,2,Yes
E4023,Hannah Hamilton,S013,Financial Modeling,1,3,No
E2354,Louis Jones,S007,SQL,2,1,Yes
E4243,Luke King,S013,Financial Modeling,10,8,No
E2646,Holly Bailey,S012,Project Management,4,2,No
E626,Ashley Cruz,S004,Docker,8,7,Yes
E1112,Ashley Sanchez,S014,Client Management,2,1,No
E186,Samantha Lewis,S004,Docker,1,3,Yes
E2352,Micheal Doyle,S007,SQL,1,2,No
E1886,Jerry Trujillo,S012,Project Management,4,2,No
E4688,Michelle Hill,S001,JavaScript,9,6,Yes
E2161,Anna Horne,S014,Client Management,6,,No
E1287,Michael Smith,S010,Big Data,5,4,No
E4913,Lindsey Johnson,S001,JavaScript,8,12,No
E1768,Ms. Kristen Patel,S015,Risk Management,8,6,No
E471,Jessica Perry,S009,Data Visualization,1,3,No
E3500,Brenda Little,S001,JavaScript,2,3,Yes
E295,Cheryl Escobar,S011,Consulting Basics,1,2,Yes
E374,Kevin Bennett,S005,HTML/CSS,4,1,Yes
E3533,Stephanie Johnson,S005,HTML/CSS,8,6,No
E1984,Tricia Tucker,S001,JavaScript,4,3,No
E4120,Julie Butler,S013,Financial Modeling,2,4,No
E2761,Robert Woodard,S005,HTML/CSS,2,1,Yes
E3188,Richard Snyder,S004,Docker,9,7,No
E2622,Carla Carroll,S013,Financial Modeling,4,3,No
E3134,Stephanie Elliott,S009,Data Visualization,8,5,Yes
E370,Tiffany Walker,S014,Client Management,,4,Yes
E1903,Joan Griffin,S002,React,7,12,Yes
E4958,April Davis,S008,Machine Learning,1,2,Yes
E2337,Christian Benson,S006,Python,1,3,No
E4059,Maria Fritz,S007,SQL,10,11,Yes
E1131,Cindy Gordon,S006,Python,7,12,Yes
E3403,Jennifer Mitchell,S010,Big Data,5,2,Yes
E3528,Holly Phillips,S011,Consulting Basics,4,4,No
E3012,Nathan Young,S002,React,2,1,Yes
E4260,Gilbert Gutierrez,S007,SQL,10,6,Yes
E4090,Kimberly Adams,S003,Node.js,6,10,No
E2600,Jay Jordan,S005,HTML/CSS,7,8,Yes
E2549,Kimberly Dixon,S015,Risk Management,1,2,No
E3233,Rachael Patterson,S004,Docker,8,7,No
E2545,Stephanie Bennett,S004,Docker,4,1,Yes
E3350,Ruth Davis,S013,Financial Modeling,8,11,Yes
E2061,George Lewis,S005,HTML/CSS,9,5,No
E028,Barry Johnson,S012,Project Management,5,3,Yes
E3001,Larry Roth,S001,JavaScript,2,3,No
E3741,Katelyn Weber,S007,SQL,10,10,No
E2616,Dr. Julia Kelly,S012,Project Management,3,2,Yes
E650,Eric Garrett,S010,Big Data,10,10,Yes
E4152,Nicole Good,S003,Node.js,9,10,Yes
E195,Megan Padilla,S009,Data Visualization,5,3,Yes
E1256,Michelle Andersen,S009,Data Visualization,8,8,No
E3924,Brett Jones,S002,React,6,5,Yes
E1872,Danielle Miller MD,S005,HTML/CSS,9,11,Yes
E471,Jessica Perry,S001,JavaScript,1,4,No
E676,Lauren Francis,S002,React,10,7,No
E4643,Laura Herrera,S014,Client Management,2,2,No
E4782,Jessica Huff,S006,Python,4,2,No
E4955,Nicholas Perez,S013,Financial Modeling,1,2,Yes
E522,Christopher Mendoza,S012,Project Management,10,8,No
E3781,Scott Thompson,S015,Risk Management,9,9,Yes
E1141,Mr. Bradley Lyons,S010,Big Data,3,4,Yes
E510,Michael Valdez,S010,Big Data,2,2,Yes
E4693,Kimberly Martin,S002,React,5,2,No
E2918,Robert Petersen,S014,Client Management,9,8,Yes
E3104,Christine Johnson,S014,Client Management,8,7,No
E4212,Mark Raymond,S008,Machine Learning,4,2,Yes
E2217,Megan Williams,S004,Docker,2,4,No
E390,Justin Perez DDS,S001,JavaScript,9,11,Yes
E4679,Donna Davis,S004,Docker,5,4,No
E3088,Heidi Cox,S008,Machine Learning,9,10,Yes
E3117,John Williams,S001,JavaScript,6,6,No
E4997,Robert Shelton,S001,JavaScript,8,6,No
E2055,Mary Thompson,S006,Python,5,1,Yes
E629,David Bates,S003,Node.js,7,8,No
E646,John Montoya,S008,Machine Learning,8,8,Yes
E3015,Keith Ortiz,S005,HTML/CSS,3,4,Yes
E3119,Michael Smith,S002,React,9,11,No
E418,Juan Hicks,S002,React,8,6,No
E4660,Roy Wolf,S011,Consulting Basics,1,4,No
E236,James Jones,S003,Node.js,8,12,No
E3142,Joshua Miller,S004,Docker,7,7,Yes
E2822,Theresa Castro,S002,React,5,4,No
E2220,Peggy Rojas,S011,Consulting Basics,1,3,Yes
E2694,Randall Miller,S009,Data Visualization,6,5,Yes
E2942,James Mcfarland,S010,Big Data,10,11,Yes
E4273,Brendan Yu,S006,Python,10,9,No
E880,Joseph Shaffer,S013,Financial Modeling,8,5,No
E4566,Kelly Winters,S013,Financial Modeling,2,3,No
E4560,Linda Davis,S005,HTML/CSS,3,1,Yes
E2323,James Cunningham,S012,Project Management,8,5,No
E3293,Ryan Jackson,S013,Financial Modeling,2,1,Yes
E1636,Anne Massey,S015,Risk Management,9,7,No
E4209,Stacy Baker,S002,React,7,8,Yes
E4263,Chelsea Alexander,S002,React,4,3,Yes
E4794,Lisa Hall,S002,React,3,1,Yes
E030,Dylan Beard,S005,HTML/CSS,3,4,No
E4525,Justin Oconnor,S003,Node.js,7,12,No
E2978,Antonio Mcdaniel,S011,Consulting Basics,3,3,No
E2867,Kelly Rocha,S009,Data Visualization,8,7,No
E1750,Lauren Allen,S004,Docker,2,2,No
E233,Courtney Stevens,S001,JavaScript,2,2,Yes
E3480,Ashley Peterson,S006,Python,7,7,No
E1024,Karla Hawkins,S005,HTML/CSS,4,3,Yes
E4326,Michael Webb,S001,JavaScript,10,9,Yes
E592,Angela Jones,S003,Node.js,7,11,Yes
E2755,John Marks,S003,Node.js,,8,No
E1709,Christine Dalton,S011,Consulting Basics,5,1,No
E3560,Chelsea Curtis,S010,Big Data,4,4,Yes
E4137,Monique Jones,S008,Machine Learning,1,1,Yes
E4016,Nicole Torres,S006,Python,3,4,No
E1571,Joseph Clark,S012,Project Management,2,1,No
E2578,Tiffany Lyons,S012,Project Management,8,10,Yes
E2734,Amanda Fox,S010,Big Data,10,12,No
E4092,Todd King,S006,Python,9,8,Yes
E4274,Michael Weiss,S008,Machine Learning,1,2,Yes
E3413,Danielle Davis,S011,Consulting Basics,6,7,No
E1985,William Thomas,S003,Node.js,9,10,Yes
E4217,Angela Long,S004,Docker,1,2,Yes
E4163,Steven Crawford,S007,SQL,6,10,No
E980,Laura Allen,S005,HTML/CSS,8,7,No
E2512,Dustin Harris,S007,SQL,4,2,No
E3984,Lorraine Wall,S010,Big Data,10,7,No
E1464,Tyrone Delacruz,S015,Risk Management,8,10,No
E913,Jerry Wilson,S009,Data Visualization,7,6,Yes
E3800,Tamara Wood,S005,HTML/CSS,9,9,Yes
E3371,Paula Jones,S003,Node.js,8,9,Yes
E1794,Amy Boyd,S007,SQL,8,8,Yes
E2396,Steven Harvey,S006,Python,6,5,No
E2268,Shawn Carter,S012,Project Management,4,1,No
E3581,Jesse Mullen,S007,SQL,1,3,Yes
E1176,Katherine Nguyen,S002,React,6,12,Yes
E3814,Richard Diaz,S010,Big Data,2,4,No
E624,Jacqueline Jones,S005,HTML/CSS,6,11,Yes
E2225,Lori Evans,S004,Docker,1,4,Yes
E1936,Amber Wallace,S005,HTML/CSS,3,1,Yes
E609,Kyle Mcintosh,S014,Client Management,4,1,Yes
E255,Danielle Phillips,S014,Client Management,8,11,Yes
E2010,Hannah Reynolds,S003,Node.js,4,4,Yes
E4680,Nicole Santos MD,S002,React,9,9,Yes
E892,Emily Goodwin,S011,Consulting Basics,8,12,No
E2940,Troy Watson,S001,JavaScript,8,8,Yes
E1678,Emma Mercer,S007,SQL,7,11,No
E3004,Nichole Taylor,S004,Docker,10,8,No
E3501,Ronald Jackson,S011,Consulting Basics,5,3,No
E4247,Kenneth King V,S014,Client Management,9,7,No
E3456,Brooke Mathis,S002,React,8,7,No
E4679,Donna Davis,S001,JavaScript,3,2,Yes
E3742,Derek Long,S011,Consulting Basics,3,2,No
E2724,Jacob Rogers DDS,S006,Python,5,4,No
E4787,Taylor Chambers,S013,Financial Modeling,4,4,Yes
E2994,Daniel Golden,S011,Consulting Basics,4,4,No
E3216,Christopher Garrett,S009,Data Visualization,9,11,No
E1038,Angela Lyons,S010,Big Data,6,12,No
E2162,John Cruz,S005,HTML/CSS,1,2,No
