emp_id,emp_name,department,designation,DOJ,age,experience,salary,no_of_promotions,education
E042,Joshua Davis,Engineering,Mid-level Developer,2014-12-24,32,6.0,54679.0,3.0,Masters
E043,Grace Aguilar,Finance,Senior Developer,2023-01-10,47,11.0,112160.0,2.0,MBA
E044,Alison Wilson,Sales,Senior Developer,2016-01-13,31,10.0,78955.0,3.0,Bachelors
E045,Jason Cooper,Marketing,Manager,2010-02-28,43,20.0,99894.0,,Masters
E046,Daniel Shelton,Engineering,Junior Developer,2006-05-26,28,4.0,41306.0,0.0,Masters
E047,Mary Hodge,Finance,Manager,2005-10-28,50,20.0,110010.0,2.0,Bachelors
E048,Frederick Leach,HR,Senior Developer,2005-11-13,35,10.0,73258.0,0.0,MBA
E049,Michael Diaz,Marketing,Senior Developer,2017-02-03,38,10.0,,0.0,Bachelors
E050,Kathryn Dunn,HR,Manager,2017-05-30,45,20.0,114396.0,0.0,Bachelors
E051,Charles Anderson,Finance,Manager,2020-12-12,50,20.0,117510.0,1.0,Bachelors
E052,Adam Black,Sales,Junior Developer,2021-08-19,22,,22441.0,0.0,Bachelors
E053,Timothy Miller,Engineering,Junior Developer,2008-12-13,28,3.0,46579.0,3.0,Bachelors
E054,Kelly Cuevas,Marketing,Manager,2012-05-20,41,20.0,91563.0,2.0,Masters
E055,David Webster,HR,Junior Developer,2006-08-28,24,1.0,26439.0,0.0,MBA
E056,Katherine Johnson,Engineering,Senior Developer,2013-07-25,31,10.0,62014.0,2.0,Bachelors
E057,Stephen Hartman,Finance,Senior Developer,2011-11-06,36,10.0,,2.0,Masters
E058,Adam Henson,Engineering,Junior Developer,2017-07-02,26,4.0,36144.0,3.0,MBA
E059,Meredith Rowe,HR,Senior Developer,2013-01-28,41,11.0,117001.0,1.0,Bachelors
E060,Daniel Richards,Marketing,Manager,2007-11-02,43,20.0,116913.0,3.0,MBA
E061,Sarah Nichols,HR,Junior Developer,2015-10-09,24,2.0,31125.0,0.0,Bachelors
E062,Diane Coffey,Finance,Mid-level Developer,2016-07-09,30,6.0,69971.0,1.0,Bachelors
E063,Shelley Schneider,Engineering,Manager,2017-04-21,43,20.0,104205.0,3.0,Masters
E064,Sarah Evans,Marketing,Manager,2017-09-21,50,20.0,90510.0,3.0,Bachelors
E065,Melissa Cooper,HR,Mid-level Developer,2008-06-02,33,6.0,50836.0,1.0,MBA
E066,Marcus Griffin,Finance,Senior Developer,2005-09-27,41,11.0,94939.0,1.0,Masters
E067,Debra Pena,Engineering,Senior Developer,2014-04-02,50,11.0,117481.0,2.0,MBA
E068,Dustin Erickson,Engineering,Junior Developer,2019-02-11,23,2.0,29510.0,0.0,Bachelors
E069,Jared Stevenson,HR,Mid-level Developer,2017-06-17,37,6.0,64378.0,0.0,Bachelors
E070,Melanie Gonzalez,Engineering,Senior Developer,2012-07-15,40,11.0,94951.0,1.0,Bachelors
E071,Jill Gonzalez,Marketing,Manager,2011-04-10,41,20.0,87487.0,3.0,Bachelors
E072,Donald Velez,Marketing,Senior Developer,2005-11-01,35,10.0,64462.0,0.0,Bachelors
E073,Ernest Thompson,Finance,Manager,2014-10-08,48,20.0,89794.0,2.0,Bachelors
E074,Kristen Jacobs,Marketing,Manager,2017-06-21,50,20.0,115754.0,0.0,MBA
E075,Stephen Glass,Sales,Senior Developer,2008-10-31,40,11.0,96830.0,0.0,Bachelors
E076,Matthew Roy,Finance,Senior Developer,2015-07-08,32,10.0,53452.0,0.0,Masters
E077,Eric Duncan,Engineering,Mid-level Developer,2021-02-08,33,6.0,70914.0,1.0,MBA
E078,Meredith Stuart,Marketing,Manager,2019-12-16,42,20.0,118727.0,1.0,Bachelors
E079,Craig Aguilar,Finance,Manager,2008-01-28,50,20.0,93914.0,1.0,Masters
E080,Melissa Wise,Finance,Senior Developer,2012-12-19,37,10.0,65888.0,0.0,Masters
E081,Carol Ross,Finance,Manager,2016-03-11,42,20.0,108955.0,1.0,Masters
E082,Steven Phillips,Finance,Junior Developer,2008-10-25,23,2.0,30777.0,0.0,Masters
E083,Joseph Ball,Finance,Manager,2023-10-17,44,20.0,119323.0,1.0,MBA
E084,Renee Walker,Finance,Manager,2009-03-27,42,20.0,92581.0,1.0,Masters
E085,Thomas Walker,Engineering,Senior Developer,2023-02-08,48,11.0,82205.0,0.0,Masters
E086,Dr. Sarah Martinez,Marketing,Junior Developer,2014-10-30,28,3.0,39887.0,0.0,MBA
E087,Sara Price,HR,Mid-level Developer,2023-05-11,37,6.0,76597.0,0.0,Masters
E088,Fred Figueroa,HR,Senior Developer,2023-07-02,33,10.0,64760.0,1.0,Bachelors
E089,Nathan Warren,Sales,Senior Developer,2009-07-06,50,11.0,86200.0,3.0,Masters
E090,Reginald Rush Jr.,Finance,Senior Developer,2017-08-23,48,11.0,104221.0,3.0,Bachelors
E091,Jim Gill,HR,Mid-level Developer,2006-03-12,35,6.0,78205.0,1.0,MBA
E092,Larry Lewis,Finance,Senior Developer,2021-01-16,48,11.0,103820.0,2.0,Masters
E093,Emily Miller,Sales,Mid-level Developer,2016-11-28,25,5.0,43618.0,3.0,Masters
E094,Aaron Brooks,Engineering,Senior Developer,2009-08-17,49,11.0,106932.0,0.0,Masters
E095,Lisa Steele,Marketing,Mid-level Developer,2018-06-26,30,6.0,52461.0,2.0,Bachelors
E096,Erica Lang,HR,Senior Developer,2019-03-12,41,11.0,81771.0,1.0,MBA
E097,Brent Phillips,Finance,Senior Developer,2008-01-27,32,10.0,62847.0,,MBA
E098,Matthew Perry,Sales,Senior Developer,2015-05-14,40,11.0,118001.0,2.0,Bachelors
E099,Jeff Smith,Sales,Junior Developer,2021-08-14,26,3.0,37671.0,0.0,Masters
E100,William Sanchez,HR,Senior Developer,2011-05-18,35,10.0,79189.0,3.0,MBA
E101,Patricia Smith,Marketing,Manager,2013-04-24,41,20.0,118605.0,1.0,MBA
E102,Michelle Knight,HR,Mid-level Developer,2017-02-02,30,6.0,52387.0,2.0,MBA
E103,Frank Johnston,Marketing,Junior Developer,2007-09-08,24,0.0,34571.0,0.0,Bachelors
E104,Michelle Ayala,HR,Senior Developer,2007-01-08,50,11.0,117728.0,1.0,MBA
E105,Chelsea Anderson,Marketing,Manager,2006-10-14,49,20.0,113397.0,3.0,Bachelors
E106,Sean Chavez,Engineering,Mid-level Developer,2018-01-07,38,6.0,52156.0,1.0,MBA
E107,Richard Pittman,Marketing,Senior Developer,2010-11-11,37,10.0,62586.0,1.0,Bachelors
E108,Francisco Brown,Marketing,Mid-level Developer,2011-03-09,30,6.0,76676.0,1.0,MBA
E109,Kevin Lopez,Finance,Manager,2022-06-26,43,20.0,85468.0,0.0,Bachelors
E110,Laura Medina,Engineering,Junior Developer,2013-07-18,29,3.0,46246.0,0.0,Bachelors
E111,Susan Levy,HR,Mid-level Developer,2012-11-19,29,5.0,43508.0,2.0,MBA
E112,Tiffany Morton,Engineering,Senior Developer,2009-09-21,44,11.0,113786.0,0.0,MBA
E113,Ethan Cruz,Sales,Junior Developer,2012-12-25,23,2.0,20133.0,0.0,MBA
E114,Eric Black,HR,Mid-level Developer,2005-09-02,30,6.0,57137.0,1.0,Bachelors
E115,Jose Chase,HR,Senior Developer,2021-04-16,36,10.0,76369.0,2.0,MBA
E116,Allison Bryant,Sales,Junior Developer,2015-01-28,25,4.0,48380.0,0.0,MBA
E117,Felicia Bowen,Sales,Senior Developer,2011-05-13,33,10.0,68514.0,1.0,Masters
E118,Kenneth Harris,Engineering,Mid-level Developer,2016-05-27,37,6.0,62881.0,1.0,Masters
E119,Nicolas Hogan,Marketing,Mid-level Developer,2007-11-08,26,5.0,43785.0,1.0,MBA
E120,Brad Brown,Marketing,Senior Developer,2022-08-19,49,11.0,103828.0,1.0,Masters
E121,Danielle Ingram,Finance,Senior Developer,2023-01-03,46,11.0,99314.0,2.0,Bachelors
E122,Darrell Ray,HR,Senior Developer,2013-11-18,31,10.0,58103.0,0.0,Bachelors
E123,Jerome Salas,Sales,Manager,2012-02-27,40,20.0,106223.0,0.0,Masters
E124,Timothy Wilson,Finance,Senior Developer,2020-04-08,40,11.0,111831.0,1.0,Bachelors
E125,Damon Larson,Sales,Mid-level Developer,2013-02-28,25,5.0,41422.0,2.0,MBA
E126,Mrs. Jamie Foley,Marketing,Mid-level Developer,2017-06-05,39,6.0,62181.0,2.0,Masters
E127,Stephanie Brown,HR,Junior Developer,2022-01-22,29,4.0,39319.0,,Masters
E128,Michael Garcia,Engineering,Junior Developer,2009-12-10,28,3.0,38813.0,2.0,Bachelors
E129,John Moore,Marketing,Manager,2020-10-11,42,20.0,93717.0,1.0,Masters
E130,Mallory Taylor,Engineering,Junior Developer,2019-03-17,24,1.0,28679.0,0.0,MBA
E131,Jason Villarreal,HR,Mid-level Developer,2010-04-08,38,6.0,69463.0,2.0,Masters
E132,Paula Camacho,Marketing,Senior Developer,2019-07-30,47,11.0,89952.0,1.0,MBA
E133,Darryl Torres,Finance,Manager,2022-08-20,43,20.0,116421.0,3.0,Bachelors
E134,Jon Conley,Marketing,Mid-level Developer,2006-10-27,27,5.0,36008.0,2.0,Masters
E135,Joseph Collins,Sales,Mid-level Developer,2020-02-17,37,6.0,71615.0,0.0,Bachelors
E136,Roy Baker,Finance,Junior Developer,2008-04-05,22,1.0,33721.0,0.0,Bachelors
E137,Dawn Munoz,Sales,Mid-level Developer,2023-07-07,34,6.0,72112.0,2.0,Masters
E138,Jodi Herring,Marketing,Junior Developer,2017-03-08,26,3.0,37827.0,3.0,Masters
E139,Theresa Sutton,Marketing,Junior Developer,2018-10-14,26,4.0,48521.0,2.0,Masters
E140,John Gregory,HR,Junior Developer,2020-05-02,22,1.0,30151.0,0.0,Bachelors
E141,Emily Solomon,Marketing,Senior Developer,2015-01-01,43,11.0,102182.0,1.0,Masters
E142,Robert Moore,Sales,Mid-level Developer,2024-03-23,27,5.0,48046.0,3.0,MBA
E143,Christopher Stuart,Finance,Senior Developer,2021-07-28,48,11.0,98077.0,1.0,MBA
E144,Randall Wallace,HR,Senior Developer,2019-03-19,40,11.0,81324.0,3.0,Masters
E145,Michael Roy,Sales,Senior Developer,2017-02-16,43,11.0,110684.0,1.0,Masters
E146,Andrew Glover,HR,Senior Developer,2016-06-24,39,10.0,70100.0,0.0,MBA
E147,Mark Baker,Marketing,Manager,2015-06-03,46,20.0,108236.0,2.0,MBA
E148,Mary Jenkins,Marketing,Manager,2017-06-08,41,20.0,87346.0,0.0,MBA
E149,Whitney Brown,Finance,Manager,2020-09-22,48,20.0,104641.0,1.0,Masters
E150,Ryan Reynolds,Engineering,Senior Developer,2021-07-02,43,11.0,90222.0,1.0,Masters
E151,Sean Price,HR,Senior Developer,2007-05-13,33,10.0,53637.0,2.0,Masters
E152,Mrs. Brenda Avila,Engineering,Senior Developer,2008-11-25,35,10.0,64386.0,3.0,Masters
E153,Luis Wilson,Finance,Manager,2012-08-18,50,20.0,97369.0,2.0,Masters
E154,Bridget Brown,HR,Mid-level Developer,2008-11-22,27,5.0,42316.0,1.0,Masters
E155,Dana Clayton,Sales,Junior Developer,2021-12-23,24,2.0,28347.0,0.0,MBA
E156,Sandra Braun,Sales,Junior Developer,2024-08-30,23,,31542.0,0.0,MBA
E157,Steven Rodriguez,Engineering,Manager,2006-06-09,50,20.0,98978.0,3.0,Masters
E158,Brandon Pham,Sales,Senior Developer,2008-04-12,50,11.0,85136.0,3.0,MBA
E159,Amanda Brown,Sales,Senior Developer,2012-08-16,40,11.0,116439.0,0.0,Bachelors
E160,Michael Roberts,Engineering,Senior Developer,2022-03-14,41,11.0,96527.0,0.0,Bachelors
E161,Jade Kent,Finance,Junior Developer,2017-11-02,23,0.0,30991.0,0.0,MBA
E162,Alyssa Hart,HR,Manager,2022-10-19,46,20.0,95054.0,,MBA
E163,Lindsay Warren,Sales,Mid-level Developer,2024-08-19,38,6.0,63580.0,0.0,Bachelors
E164,Joshua Daugherty,Engineering,Senior Developer,2019-10-27,41,11.0,112173.0,2.0,Masters
E165,Samantha Choi,Finance,Mid-level Developer,2017-05-24,39,6.0,61804.0,2.0,MBA
E166,John Hill,Sales,Manager,2024-09-13,48,20.0,114574.0,1.0,Bachelors
E167,Curtis Cole,Finance,Junior Developer,2015-04-02,22,1.0,24863.0,0.0,Bachelors
E168,Jordan Miller,Finance,Mid-level Developer,2006-11-24,26,5.0,40565.0,1.0,MBA
E169,John Newman,Sales,Manager,2024-01-03,45,20.0,87844.0,3.0,Bachelors
E170,Larry Hoffman,Sales,Mid-level Developer,2013-06-06,28,5.0,39613.0,1.0,Bachelors
E171,Antonio Hess,Sales,Mid-level Developer,2017-10-05,31,6.0,69531.0,3.0,Masters
E172,Jason Wade,Marketing,Junior Developer,2007-12-10,29,4.0,43286.0,3.0,Masters
E173,Brandon Jordan,Sales,Senior Developer,2020-02-05,47,11.0,93184.0,1.0,Bachelors
E174,Jeremy Hanson,HR,Senior Developer,2017-07-16,30,10.0,74510.0,0.0,MBA
E175,Travis Cain,Sales,Junior Developer,2005-03-14,23,2.0,28680.0,0.0,Masters
E176,Zachary Maynard,Engineering,Mid-level Developer,2005-08-07,32,6.0,50973.0,3.0,Bachelors
E177,Antonio White,Marketing,Senior Developer,2017-08-13,31,10.0,79274.0,3.0,Bachelors
E178,Lauren Gonzalez,Sales,Senior Developer,2018-08-26,46,11.0,116151.0,3.0,Masters
E179,Matthew Osborne,Engineering,Mid-level Developer,2008-01-13,37,6.0,56810.0,0.0,MBA
E180,Patrick Bennett,Marketing,Junior Developer,2020-05-15,26,3.0,46010.0,3.0,MBA
E181,Jason Adams,HR,Mid-level Developer,2013-12-05,35,6.0,69979.0,3.0,Masters
E182,Gregory Sanchez,Marketing,Senior Developer,2022-10-22,33,10.0,58413.0,2.0,Bachelors
E183,Jessica Rios,HR,Junior Developer,2020-12-06,25,4.0,45625.0,3.0,MBA
E184,Justin Thompson,Finance,Senior Developer,2010-03-05,32,10.0,71483.0,1.0,Masters
E185,Darryl Cox,Finance,Junior Developer,2011-11-04,27,4.0,49910.0,3.0,Bachelors
E186,Samantha Lewis,Sales,Manager,2007-12-06,48,20.0,92976.0,3.0,MBA
E187,Jimmy Cantu,Sales,Mid-level Developer,2006-01-31,26,5.0,41576.0,,Bachelors
E188,Jennifer Bates,HR,Junior Developer,2022-06-19,23,2.0,23454.0,0.0,MBA
E189,Dr. Alec Hernandez MD,Marketing,Mid-level Developer,2012-07-26,26,5.0,39248.0,2.0,Masters
E190,Mark Chavez,Finance,Senior Developer,2016-11-11,39,10.0,61997.0,2.0,MBA
E191,Jeffrey Hampton,Sales,Senior Developer,2011-12-26,47,11.0,93177.0,1.0,Masters
E192,Brenda Murphy,Marketing,Manager,2006-02-01,45,20.0,100769.0,0.0,MBA
E193,Austin Casey,Engineering,Senior Developer,2011-10-17,42,11.0,109575.0,3.0,Bachelors
E194,Douglas Rose,HR,Junior Developer,2016-12-02,22,2.0,31777.0,0.0,Bachelors
E195,Megan Padilla,HR,Manager,2019-11-17,40,20.0,92873.0,,Bachelors
E196,James Williams,Marketing,Senior Developer,2005-04-03,40,11.0,105754.0,1.0,MBA
E197,Anthony Malone,Sales,Manager,2008-12-31,45,20.0,117201.0,1.0,Masters
E198,Paula Schmidt,Finance,Mid-level Developer,2013-04-28,37,6.0,,1.0,MBA
E199,Stephen Davis,Sales,Senior Developer,2022-06-28,30,10.0,78188.0,2.0,MBA
E200,Eric Soto,Sales,Manager,2019-05-05,50,20.0,112452.0,3.0,Bachelors
E201,Ian Juarez,Sales,Junior Developer,2009-05-31,24,2.0,34920.0,0.0,Bachelors
E202,Ronald Fernandez,Sales,Manager,2018-10-01,47,20.0,93976.0,0.0,MBA
E203,Lisa Marshall,Finance,Junior Developer,2019-03-30,24,1.0,20324.0,0.0,Masters
E204,Jeremy White,Finance,Senior Developer,2017-03-15,46,11.0,105998.0,3.0,Masters
E205,Miranda Vaughn,Finance,Mid-level Developer,2007-12-03,33,6.0,66988.0,0.0,MBA
E206,Joshua Munoz,HR,Manager,2015-08-08,42,20.0,95740.0,0.0,MBA
E207,Sarah Steele,Sales,Manager,2008-03-04,46,20.0,100195.0,0.0,Bachelors
E208,Donna Sullivan,Sales,Mid-level Developer,2010-04-22,25,5.0,39077.0,3.0,Bachelors
E209,Samantha Hall,Engineering,Senior Developer,2009-12-22,47,11.0,91540.0,0.0,MBA
E210,Eduardo Chang,Sales,Manager,2024-04-30,40,20.0,100432.0,1.0,Masters
E211,Erin Heath,Finance,Senior Developer,2014-02-24,43,11.0,119064.0,1.0,Bachelors
E212,Juan Ho,Marketing,Manager,2023-09-10,50,20.0,85019.0,0.0,MBA
E213,Susan Werner,Sales,Senior Developer,2010-09-06,48,11.0,80683.0,0.0,Bachelors
E214,Christopher Webb,Finance,Senior Developer,2013-11-13,46,,97769.0,2.0,Masters
E215,Kristin Trujillo,Sales,Mid-level Developer,2021-08-10,35,6.0,,3.0,Masters
E216,Barbara Hernandez,Engineering,Senior Developer,2018-08-12,30,10.0,77763.0,3.0,Masters
E217,Stephanie Maynard,HR,Senior Developer,2020-02-28,44,11.0,103779.0,3.0,Masters
E218,Lisa Parker,Finance,Senior Developer,2021-03-02,31,10.0,63543.0,0.0,Masters
E219,Amy Carter,HR,Junior Developer,2022-01-28,22,2.0,22253.0,0.0,MBA
E220,Terry Thompson,Engineering,Senior Developer,2012-12-11,36,10.0,70966.0,3.0,Masters
E221,Jordan Spencer,Engineering,Mid-level Developer,2004-11-09,36,6.0,57930.0,0.0,Masters
E222,Jennifer Robinson,Marketing,Senior Developer,2007-05-16,37,10.0,73820.0,1.0,Bachelors
E223,Andrew Mendoza,HR,Mid-level Developer,2008-05-07,39,6.0,74749.0,3.0,Masters
E224,Stephanie Rowe,Finance,Manager,2013-11-09,46,20.0,88222.0,0.0,Masters
E225,Carol Lawson,Marketing,Senior Developer,2019-04-20,46,11.0,102436.0,2.0,Bachelors
E226,Lawrence Chapman,Marketing,Senior Developer,2019-04-18,33,10.0,59713.0,0.0,MBA
E227,Hector Ellis,HR,Mid-level Developer,2008-03-31,37,6.0,68534.0,0.0,Masters
E228,Douglas Lee,Sales,Junior Developer,2023-09-19,22,1.0,28435.0,0.0,Bachelors
E229,Linda Shepard,Marketing,Mid-level Developer,2012-08-20,29,5.0,39792.0,3.0,Masters
E230,John Gordon,Finance,Manager,2011-02-20,46,20.0,113323.0,0.0,Masters
E231,Jason Clark,Marketing,Junior Developer,2013-07-03,22,1.0,27182.0,0.0,Masters
E232,Cory Murray,Engineering,Senior Developer,2022-05-02,40,11.0,89430.0,0.0,Masters
E233,Courtney Stevens,Marketing,Junior Developer,2006-10-19,28,4.0,41411.0,2.0,Masters
E234,Deborah Blackwell,Marketing,Mid-level Developer,2015-09-04,37,6.0,71684.0,3.0,MBA
E235,Edward Cook,Sales,Junior Developer,2019-11-18,29,4.0,39574.0,0.0,MBA
E236,James Jones,HR,Mid-level Developer,2024-09-10,29,5.0,43865.0,0.0,Bachelors
E237,Eric Nguyen,HR,Mid-level Developer,2024-07-31,28,5.0,38577.0,1.0,Bachelors
E238,Emily Perez,Engineering,Junior Developer,2019-01-04,29,3.0,44105.0,3.0,MBA
E239,Brittany Parrish,Finance,Mid-level Developer,2017-05-10,33,6.0,51702.0,2.0,MBA
E240,Timothy Harrington,HR,Senior Developer,2016-10-04,42,11.0,86616.0,1.0,Bachelors
E241,Pamela Simon,Finance,Mid-level Developer,2018-12-27,32,6.0,74559.0,0.0,Bachelors
E242,Rick Garcia,HR,Junior Developer,2009-08-04,22,0.0,30059.0,0.0,MBA
E243,Bill Lewis,Finance,Senior Developer,2020-12-22,31,10.0,67427.0,0.0,Bachelors
E244,Miguel Ball,Engineering,Junior Developer,2022-09-10,24,1.0,28639.0,0.0,Bachelors
E245,Shannon Gutierrez,Sales,Senior Developer,2017-03-14,40,11.0,83587.0,0.0,Bachelors
E246,Andrew Fitzgerald,Finance,Junior Developer,2006-02-09,22,0.0,25146.0,0.0,MBA
E247,Angel Sherman,Finance,Mid-level Developer,2009-05-17,32,6.0,60469.0,3.0,Masters
E248,Tara Frederick,Sales,Mid-level Developer,2014-02-13,30,6.0,68591.0,1.0,Masters
E249,Michael Gutierrez,HR,Mid-level Developer,2012-05-12,28,5.0,48578.0,2.0,Bachelors
E250,James Coffey,Sales,Senior Developer,2016-03-16,44,11.0,87828.0,1.0,Bachelors
E251,Lisa Brown,Engineering,Senior Developer,2014-09-26,34,10.0,73375.0,3.0,Bachelors
E252,Melissa Ward,Finance,Manager,2009-01-26,43,20.0,111375.0,0.0,Masters
E253,Stacy Gutierrez,Sales,Manager,2012-10-31,50,20.0,97666.0,0.0,MBA
E254,Dr. Larry Hernandez,Engineering,Junior Developer,2019-08-14,28,4.0,46859.0,1.0,Masters
E255,Danielle Phillips,Finance,Junior Developer,2020-12-06,26,4.0,48052.0,3.0,MBA
E256,Shannon Archer,Sales,Manager,2007-05-25,47,20.0,119274.0,0.0,Masters
E257,Patricia Fowler,Marketing,Mid-level Developer,2021-02-21,26,5.0,37247.0,2.0,MBA
E258,Troy Taylor,Marketing,Senior Developer,2011-07-23,32,10.0,75769.0,0.0,Bachelors
E259,Ashley Hall,Engineering,Junior Developer,2011-09-14,27,3.0,36540.0,1.0,Bachelors
E260,Jack Anderson,Finance,Mid-level Developer,2009-03-16,38,6.0,65585.0,0.0,MBA
E261,Kylie Moran,Sales,Junior Developer,2022-08-07,23,1.0,24700.0,0.0,Bachelors
E262,Jonathan Jones,HR,Senior Developer,2007-11-05,39,10.0,52480.0,3.0,Bachelors
E263,Stephen Holder,Sales,Junior Developer,2019-02-07,29,4.0,35445.0,3.0,Masters
E264,Jessica Chen,Marketing,Senior Developer,2012-04-30,43,,84211.0,2.0,Masters
E265,Matthew Ward,Finance,Senior Developer,2018-08-28,38,10.0,58205.0,3.0,MBA
E266,Michael Payne,Engineering,Manager,2007-03-06,46,20.0,84179.0,2.0,MBA
E267,Jordan Ortega,Marketing,Senior Developer,2020-09-18,44,11.0,100509.0,3.0,Masters
E268,Heidi Rodriguez,Marketing,Junior Developer,2005-06-30,24,,23374.0,0.0,MBA
E269,Hector Myers,HR,Senior Developer,2009-10-10,43,11.0,105183.0,0.0,Masters
E270,Madison Smith,HR,Mid-level Developer,2016-08-06,32,6.0,71537.0,3.0,Bachelors
E271,Dana Nelson,Sales,Senior Developer,2008-04-05,34,10.0,70554.0,1.0,Bachelors
E272,Courtney Turner,Finance,Senior Developer,2015-04-25,43,11.0,93771.0,2.0,Masters
E273,Alison Mckenzie,Marketing,Junior Developer,2020-03-26,22,0.0,32157.0,0.0,MBA
E274,Kaitlyn Wilson,Marketing,Mid-level Developer,2009-03-08,31,6.0,71724.0,3.0,MBA
E275,Nicholas Jones,Sales,Senior Developer,2022-03-20,34,10.0,74146.0,2.0,MBA
E276,Gerald Jordan,Finance,Mid-level Developer,2012-03-06,37,6.0,53441.0,0.0,Bachelors
E277,Edward Gonzales,Sales,Manager,2019-11-06,42,20.0,111406.0,3.0,MBA
E278,Carolyn Bryant,Engineering,Senior Developer,2020-07-22,33,10.0,64664.0,2.0,Bachelors
E279,Stephanie Perez,Marketing,Senior Developer,2004-10-27,33,10.0,69526.0,0.0,MBA
E280,Jessica Bailey,Engineering,Manager,2005-02-26,46,20.0,93593.0,0.0,MBA
E281,Michael Villa,Finance,Manager,2011-01-28,43,20.0,92694.0,0.0,Masters
E282,Andrea Cervantes,Finance,Senior Developer,2016-06-11,42,11.0,105706.0,2.0,MBA
E283,Kelly Vincent,Finance,Mid-level Developer,2022-10-17,39,6.0,50386.0,2.0,MBA
E284,Robert Sanders,Engineering,Senior Developer,2006-04-23,49,11.0,105726.0,0.0,MBA
